,artist_name,track_name,track_id,popularity
504,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
505,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
506,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
507,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
508,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
509,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
510,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
511,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
512,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
513,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
514,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
515,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
516,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
517,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
518,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
519,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
520,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
521,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
522,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
523,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
524,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
525,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
526,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
527,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
528,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
529,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
530,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
531,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
532,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
