,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
373,spotify:track:1cVlW9WQiGlFdWUXFdFZGh,33,Pa' Olvidarme De Ella,9/6/2019,82,TRUE,0.728,0.542,0,-5.195,1,0.0514,0.259,0,0.136,0.637,90.016,227234
374,spotify:track:0jT8Nl0shPS8115is0wD2Q,38,Favorito,4/17/2020,81,FALSE,0.606,0.853,9,-2.975,1,0.0545,0.237,0,0.251,0.822,178.043,209766
375,spotify:track:6WkJ2OK163XXS2oARUC9JM,68,Dancin (feat. Luvli) - Krono Remix,11/7/2014,82,FALSE,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41E-05,0.289,0.357,119.896,198053
376,spotify:track:06s3QtMJVXw1AJX3UfvZG1,68,Hasta Que Dios Diga,5/29/2020,90,TRUE,0.691,0.765,8,-4.727,1,0.111,0.464,3.29E-06,0.203,0.855,174.021,246000
377,spotify:track:3JHpk0DOTOzyh0777JFAky,111,Diosa,1/24/2020,85,TRUE,0.801,0.745,6,-3.733,0,0.063,0.398,0.00603,0.153,0.245,104.965,214013
378,spotify:track:5XqCz18k96K8tx6DAYM97i,108,PA' ROMPERLA,5/10/2020,84,TRUE,0.772,0.83,7,-5.019,1,0.0599,0.016,0,0.0843,0.697,94.011,194200
379,spotify:track:3eJMSq78dDaFb7VvhNFnq6,24,ADMV,4/23/2020,82,FALSE,0.565,0.39,9,-4.959,1,0.0556,0.817,0,0.126,0.708,163.781,193700
380,spotify:track:11VApNQCWLJdzxWrlmwzUa,153,Say So (feat. Nicki Minaj),5/1/2020,84,TRUE,0.856,0.641,11,-4.64,0,0.204,0.119,4.97E-06,0.427,0.745,111.004,206221
381,spotify:track:0eeKDrQxjqNl5bX5VCHDcn,67,PAM,5/1/2020,86,TRUE,0.889,0.863,11,-3.011,1,0.0757,0.289,0.000603,0.0798,0.776,112.953,201000
382,spotify:track:4uziEsK1yiqdauKVDPsmVG,86,Rojo,2/27/2020,84,FALSE,0.652,0.595,11,-4.04,1,0.113,0.15,0.000115,0.0842,0.444,172.27,150853
385,spotify:track:6vTtCOimcPs5H1Jr9d0Aep,21,Sour Times,1/1/1994,59,FALSE,0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,252267
388,spotify:track:4kPSjEg8u1U4pg2dHHMmtf,14,Dancing Barefoot,1979,59,FALSE,0.492,0.639,2,-9.944,1,0.0319,0.235,0,0.0738,0.792,115.519,256533
394,spotify:track:3vNFsxBbA4dPkymPF5Jm1b,17,This Mess We're In,1/1/2000,59,FALSE,0.541,0.572,0,-9.634,1,0.0277,0.0266,0.186,0.0925,0.406,126.302,235840
405,spotify:track:6Rt6KwuF7I8ZkdZG2G0bYr,15,The Only Thing,3/31/2015,65,FALSE,0.519,0.145,3,-19.581,1,0.0392,0.987,0.0643,0.108,0.487,158.975,284131
411,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,33,Hallelujah,1994,71,FALSE,0.323,0.136,0,-10.33,1,0.0318,0.931,0.00119,0.176,0.0828,96.88,413827
414,spotify:track:2BndJYJQ17UcEeUFJP5JmY,16,Paradise Circus,2/8/2010,62,FALSE,0.81,0.591,8,-13.385,1,0.0638,0.414,0.799,0.072,0.297,136.028,297775
